Assembly Accession	Assembly Name	Organism Name	Annotation Name	Assembly Level	Assembly Release Date	Assembly Stats Number of Scaffolds	Assembly BioProject Accession	Assembly BioSample Accession
GCF_900636175.1	39130_G01	Escherichia coli	GCF_900636175.1-RS_2024_06_18	Complete Genome	2018-12-20	1	PRJEB6403	SAMEA3446331
GCF_041257715.1	ASM4125771v1	Escherichia coli	GCF_041257715.1-RS_2024_08_14	Complete Genome	2024-08-14	5	PRJNA1124524	SAMN41858628
GCF_002860085.1	ASM286008v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-01-04	5	PRJNA360014	SAMN06198938
GCF_030515175.1	ASM3051517v1	Escherichia coli	GCF_030515175.1-RS_2024_07_26	Complete Genome	2023-07-21	2	PRJNA757133	SAMN20934303
GCF_002057355.1	ASM205735v1	Escherichia coli	GCF_002057355.1-RS_2024_06_13	Complete Genome	2017-03-21	1	PRJNA378908	SAMN06563579
GCF_027944675.1	ASM2794467v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-01-24	6	PRJNA907549	SAMN31988492
GCF_030285545.1	ASM3028554v1	Escherichia coli	GCF_030285545.1-RS_2024_06_28	Complete Genome	2023-06-18	4	PRJNA980462	SAMN35637913
GCF_964049545.1	30821_1#88	Escherichia coli	GCF_964049545.1-RS_2024_05_20	Complete Genome	2024-05-20	7	PRJEB45354	SAMEA9068099
GCF_020616475.1	ASM2061647v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-26	5	PRJNA770868	SAMN22242652
GCF_041262745.1	ASM4126274v1	Escherichia coli	GCF_041262745.1-RS_2024_08_14	Complete Genome	2024-08-14	1	PRJNA1124524	SAMN41858626
GCF_001901025.1	ASM190102v1	Escherichia coli	GCF_001901025.1-RS_2024_06_13	Complete Genome	2016-12-12	3	PRJNA269191	SAMN03252439
GCF_038627065.1	ASM3862706v2	Escherichia coli	GCF_038627065.1-RS_2024_06_23	Complete Genome	2024-06-12	5	PRJNA812595	SAMN41094954
GCF_028623065.1	ASM2862306v1	Escherichia coli	GCF_028623065.1-RS_2024_03_25	Complete Genome	2023-02-15	3	PRJNA932923	SAMN33214846
GCF_038627105.1	ASM3862710v2	Escherichia coli	GCF_038627105.1-RS_2024_06_23	Complete Genome	2024-06-12	3	PRJNA812595	SAMN41094955
GCF_036884635.1	ASM3688463v1	Escherichia coli	GCF_036884635.1-RS_2024_04_05	Complete Genome	2024-04-05	2	PRJNA1074938	SAMN33052298
GCF_002180195.1	ASM218019v1	Escherichia coli	GCF_002180195.1-RS_2024_06_13	Complete Genome	2017-06-08	2	PRJNA292904	SAMN04014899
GCF_001901045.1	ASM190104v1	Escherichia coli	GCF_001901045.1-RS_2024_06_13	Complete Genome	2016-12-12	3	PRJNA269191	SAMN03252440
GCF_022846255.1	ASM2284625v1	Escherichia coli	GCF_022846255.1-RS_2024_05_31	Complete Genome	2022-03-25	1	PRJDB12453	SAMD00411243
GCF_030988825.1	ASM3098882v1	Escherichia coli	GCF_030988825.1-RS_2024_09_14	Complete Genome	2023-08-30	5	PRJNA493523	SAMN10141490
GCF_042192365.1	ASM4219236v1	Escherichia coli	GCF_042192365.1-RS_2024_09_25	Complete Genome	2024-09-25	1	PRJNA681501	SAMN16955117
GCF_045037595.1	ASM4503759v1	Escherichia coli	GCF_045037595.1-RS_2024_11_20	Complete Genome	2024-11-23	2	PRJNA1180919	SAMN44530450
GCF_963575445.1	F247	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-28	2	PRJEB62104	SAMEA113542878
GCF_963575415.1	F719	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-28	6	PRJEB62104	SAMEA113542902
GCF_003344465.1	ASM334446v1	Escherichia coli	GCF_003344465.1-RS_2024_06_17	Complete Genome	2018-07-27	6	PRJNA476955	SAMN09462202
GCF_035666095.1	ASM3566609v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-01-16	4	PRJNA1060921	SAMN39250273
GCF_019585465.2	STEC10	Escherichia coli	GCF_019585465.2-RS_2024_04_05	Complete Genome	2024-04-06	4	PRJNA548004	SAMN11997563
GCF_964038705.1	30348_1#3	Escherichia coli	GCF_964038705.1-RS_2024_05_20	Complete Genome	2024-05-20	2	PRJEB45354	SAMEA9068047
GCF_024396575.1	ASM2439657v1	Escherichia coli	GCF_024396575.1-RS_2024_08_18	Complete Genome	2022-07-25	1	PRJNA808067	SAMN26026495
GCF_002787545.1	ASM278754v1	Escherichia coli	GCF_002787545.1-RS_2024_06_15	Complete Genome	2017-11-20	4	PRJNA416193	SAMN07944243
GCF_024396535.1	ASM2439653v1	Escherichia coli	GCF_024396535.1-RS_2024_08_18	Complete Genome	2022-07-25	1	PRJNA808067	SAMN26026497
GCF_024396555.1	ASM2439655v1	Escherichia coli	GCF_024396555.1-RS_2024_08_18	Complete Genome	2022-07-25	1	PRJNA808067	SAMN26026496
GCF_016728085.1	ASM1672808v1	Escherichia coli	GCF_016728085.1-RS_2024_06_27	Complete Genome	2021-01-20	3	PRJNA231221	SAMN16357246
GCF_024970535.1	ASM2497053v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-06	2	PRJNA875216	SAMN30608532
GCF_034643695.1	ASM3464369v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-12-26	2	PRJNA1049017	SAMN38673176
GCF_009952125.1	ASM995212v1	Escherichia coli	GCF_009952125.1-RS_2024_06_24	Complete Genome	2020-01-29	2	PRJNA552621	SAMN12214763
GCF_030863925.1	ASM3086392v1	Escherichia coli	GCF_030863925.1-RS_2024_09_07	Complete Genome	2023-08-23	3	PRJNA1003888	SAMN36909132
GCF_002587005.1	ASM258700v1	Escherichia coli	GCF_002587005.1-RS_2024_06_14	Complete Genome	2017-10-18	2	PRJNA413755	SAMN07765387
GCF_025259645.1	ASM2525964v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-19	2	PRJNA812595	SAMN24145077
GCF_009867035.2	ASM986703v3	Escherichia coli	GCF_009867035.2-RS_2024_06_26	Complete Genome	2020-06-08	5	PRJNA433820	SAMN08522770
GCF_031661555.1	ASM3166155v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-09-19	4	PRJNA953191	SAMN37323662
GCF_016776005.1	ASM1677600v1	Escherichia coli	GCF_016776005.1-RS_2024_06_27	Complete Genome	2021-02-01	1	PRJNA691727	SAMN17373199
GCF_030988725.1	ASM3098872v1	Escherichia coli	GCF_030988725.1-RS_2024_09_14	Complete Genome	2023-08-30	4	PRJNA493523	SAMN10141460
GCF_020905655.1	ASM2090565v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-21	1	PRJNA778213	SAMN22933588
GCF_022493355.1	ASM2249335v1	Escherichia coli	GCF_022493355.1-RS_2024_04_25	Complete Genome	2022-03-07	1	PRJNA293615	SAMN04100051
GCF_041003625.1	W284	Escherichia coli	GCF_041003625.1-RS_2024_08_02	Complete Genome	2024-08-03	5	PRJNA1135755	SAMN42440411
GCF_030438455.1	ASM3043845v1	Escherichia coli	GCF_030438455.1-RS_2024_07_20	Complete Genome	2023-07-11	4	PRJNA990487	SAMN36269922
GCF_006337025.1	ASM633702v1	Escherichia coli	GCF_006337025.1-RS_2024_06_21	Complete Genome	2019-06-13	3	PRJNA547487	SAMN04158281
GCF_011492925.1	ASM1149292v1	Escherichia coli	GCF_011492925.1-RS_2024_06_25	Complete Genome	2020-03-19	1	PRJNA591373	SAMN14342226
GCF_022353905.1	ASM2235390v1	Escherichia coli	GCF_022353905.1-RS_2024_05_01	Complete Genome	2022-02-22	3	PRJNA603241	SAMN13925592
GCF_023657975.1	ASM2365797v1	Escherichia coli	GCF_023657975.1-RS_2024_06_26	Complete Genome	2022-06-07	3	PRJNA843104	SAMN28703754
GCF_002996665.1	ASM299666v1	Escherichia coli	GCF_002996665.1-RS_2024_06_15	Complete Genome	2018-03-14	5	PRJNA436212	SAMN08619547
GCF_008364455.2	ASM836445v2	Escherichia coli	GCF_008364455.2-RS_2024_06_05	Complete Genome	2024-06-06	2	PRJNA559804	SAMN12560206
GCF_017654165.1	ASM1765416v1	Escherichia coli	GCF_017654165.1-RS_2024_06_28	Complete Genome	2021-03-31	1	PRJNA715114	SAMN18332132
GCF_030036835.1	ASM3003683v1	Escherichia coli	GCF_030036835.1-RS_2024_06_10	Complete Genome	2023-05-12	3	PRJNA961666	SAMN34360957
GCF_014854635.1	ASM1485463v1	Escherichia coli	GCF_014854635.1-RS_2024_06_27	Complete Genome	2020-10-06	7	PRJNA665137	SAMN16242922
GCF_964036945.1	30345_1#279	Escherichia coli	GCF_964036945.1-RS_2024_05_20	Complete Genome	2024-05-20	5	PRJEB45354	SAMEA9068090
GCF_045037495.1	ASM4503749v1	Escherichia coli	GCF_045037495.1-RS_2024_11_20	Complete Genome	2024-11-23	4	PRJNA1180919	SAMN44530430
GCF_024125695.1	ASM2412569v1	Escherichia coli	GCF_024125695.1-RS_2024_07_16	Complete Genome	2022-07-03	6	PRJNA852879	SAMN29354608
GCF_039909425.1	ASM3990942v1	Escherichia coli	GCF_039909425.1-RS_2024_05_30	Complete Genome	2024-05-31	2	PRJNA935790	SAMN41050899
GCF_004135815.1	ASM413581v1	Escherichia coli	GCF_004135815.1-RS_2024_06_18	Complete Genome	2019-02-04	5	PRJNA508865	SAMN10531954
GCF_002893905.2	ASM289390v2	Escherichia coli	GCF_002893905.2-RS_2024_06_15	Complete Genome	2018-01-26	3	PRJNA419620	SAMN08093640
GCF_024331345.2	ASM2433134v2	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-08	2	PRJNA856486	SAMN29553884
GCF_024735245.1	ASM2473524v1	Escherichia coli	GCF_024735245.1-RS_2024_09_28	Complete Genome	2022-08-24	4	PRJNA868478	SAMN30247557
GCF_001900835.1	ASM190083v1	Escherichia coli	GCF_001900835.1-RS_2024_06_12	Complete Genome	2016-12-12	4	PRJNA269191	SAMN03252435
GCF_904864635.1	MSB2_1A	Escherichia coli	GCF_904864635.1-RS_2024_07_03	Complete Genome	2020-11-01	5	PRJNA646837	SAMEA3357497
GCF_004193755.1	ASM419375v1	Escherichia coli	GCF_004193755.1-RS_2024_06_18	Complete Genome	2019-02-13	7	PRJNA516749	SAMN10837069
GCF_014168675.1	ASM1416867v1	Escherichia coli	GCF_014168675.1-RS_2024_06_26	Complete Genome	2020-07-21	2	PRJDB6962	SAMD00194357
GCF_009950125.1	ASM995012v1	Escherichia coli	GCF_009950125.1-RS_2024_06_25	Complete Genome	2020-01-29	4	PRJNA552621	SAMN12214768
GCF_022220885.1	ASM2222088v1	Escherichia coli	GCF_022220885.1-RS_2024_05_16	Complete Genome	2022-02-14	2	PRJNA725420	SAMN18879476
GCF_024735225.1	ASM2473522v1	Escherichia coli	GCF_024735225.1-RS_2024_09_27	Complete Genome	2022-08-24	4	PRJNA868478	SAMN30247543
GCF_016889605.1	ASM1688960v1	Escherichia coli	GCF_016889605.1-RS_2024_06_27	Complete Genome	2021-02-15	3	PRJNA231221	SAMN16357410
GCF_904831805.1	L7_E1373_ETEC	Escherichia coli	GCF_904831805.1-RS_2024_06_27	Complete Genome	2020-11-16	3	PRJEB40413	SAMEA7368288
GCF_029625195.1	ASM2962519v1	Escherichia coli	GCF_029625195.1-RS_2024_05_27	Complete Genome	2023-04-09	2	PRJNA949010	SAMN33924090
GCF_029625455.1	ASM2962545v1	Escherichia coli	GCF_029625455.1-RS_2024_05_27	Complete Genome	2023-04-09	2	PRJNA949007	SAMN33924088
GCF_024918295.1	ASM2491829v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-04	9	PRJNA836696	SAMN28173990
GCF_029625095.1	ASM2962509v1	Escherichia coli	GCF_029625095.1-RS_2024_05_27	Complete Genome	2023-04-09	2	PRJNA948979	SAMN33924086
GCF_016942635.1	ASM1694263v1	Escherichia coli	GCF_016942635.1-RS_2024_06_27	Complete Genome	2021-02-25	3	PRJNA670073	SAMN16387507
GCF_002012145.1	ASM201214v1	Escherichia coli	GCF_002012145.1-RS_2024_06_14	Complete Genome	2017-03-03	3	PRJNA316786	SAMN05511159
GCF_018884425.1	ASM1888442v1	Escherichia coli	GCF_018884425.1-RS_2024_07_20	Complete Genome	2021-06-15	5	PRJNA521509	SAMN08161240
GCF_040436815.1	ASM4043681v1	Escherichia coli	GCF_040436815.1-RS_2024_07_02	Complete Genome	2024-07-02	3	PRJNA1120246	SAMN41685798
GCF_034120885.1	ASM3412088v2	Escherichia coli	GCF_034120885.1-RS_2024_04_21	Complete Genome	2024-01-14	5	PRJNA812595	SAMN38646034
GCF_035557515.1	ASM3555751v2	Escherichia coli	GCF_035557515.1-RS_2024_04_21	Complete Genome	2024-04-06	4	PRJNA812595	SAMN39334900
GCF_028421485.1	ASM2842148v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-02	3	PRJNA880509	SAMN30844958
GCF_002215095.1	ASM221509v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-07-06	2	PRJNA287563	SAMN03783363
GCF_016942655.1	ASM1694265v1	Escherichia coli	GCF_016942655.1-RS_2024_06_27	Complete Genome	2021-02-25	4	PRJNA670073	SAMN16387502
GCF_024331445.2	ASM2433144v2	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-08	4	PRJNA856486	SAMN29553888
GCF_030295505.1	ASM3029550v1	Escherichia coli	GCF_030295505.1-RS_2024_06_30	Complete Genome	2023-05-30	6	PRJDB14917	SAMD00566112
GCF_003342715.1	ASM334271v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-07-26	6	PRJNA230969	SAMN08663441
GCF_900520385.1	ASM90052038v1	Escherichia coli	GCF_900520385.1-RS_2024_06_18	Complete Genome	2019-01-29	5	PRJEB27470	SAMEA4830819
GCF_013317085.1	ASM1331708v1	Escherichia coli	GCF_013317085.1-RS_2024_06_26	Complete Genome	2020-06-10	4	PRJNA580336	SAMN13155539
GCF_025369855.1	ASM2536985v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-22	5	PRJNA879066	SAMN30789307
GCF_003956225.1	ASM395622v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-12-19	3	PRJNA421191	SAMN08161275
GCF_025200635.1	ASM2520063v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-14	4	PRJNA281531	SAMN30466958
GCF_036497865.1	ASM3649786v1	Escherichia coli	GCF_036497865.1-RS_2024_04_04	Complete Genome	2023-11-03	12	PRJDB14867	SAMD00562545
GCF_036495185.1	ASM3649518v1	Escherichia coli	GCF_036495185.1-RS_2024_04_04	Complete Genome	2023-11-03	6	PRJDB14867	SAMD00562495
GCF_002357915.1	ASM235791v1	Escherichia coli	GCF_002357915.1-RS_2024_05_08	Complete Genome	2017-04-06	7	PRJDB5007	SAMD00056130
GCF_014169155.1	ASM1416915v1	Escherichia coli	GCF_014169155.1-RS_2024_06_26	Complete Genome	2020-07-21	3	PRJDB6962	SAMD00194482
GCF_003956285.1	ASM395628v1	Escherichia coli	GCF_003956285.1-RS_2024_06_18	Complete Genome	2018-12-19	4	PRJNA421191	SAMN08161311
GCF_029990555.1	ASM2999055v1	Escherichia coli	GCF_029990555.1-RS_2024_08_15	Complete Genome	2023-05-12	6	PRJNA961666	SAMN34360980
GCF_044324865.1	ASM4432486v1	Escherichia coli	GCF_044324865.1-RS_2024_11_04	Complete Genome	2024-11-04	4	PRJNA1176018	SAMN44378802
GCF_016889845.1	ASM1688984v1	Escherichia coli	GCF_016889845.1-RS_2024_06_27	Complete Genome	2021-02-15	7	PRJNA231221	SAMN16357390
GCF_002879975.1	ASM287997v1	Escherichia coli	GCF_002879975.1-RS_2024_06_15	Complete Genome	2018-01-15	1	PRJNA428980	SAMN08326676
GCF_041004245.1	W150	Escherichia coli	GCF_041004245.1-RS_2024_08_02	Complete Genome	2024-08-03	8	PRJNA1135755	SAMN42440399
GCF_036884765.1	ASM3688476v1	Escherichia coli	GCF_036884765.1-RS_2024_04_05	Complete Genome	2024-04-05	2	PRJNA1074938	SAMN33052295
GCF_904831845.1	L6_E562_ETEC	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-16	6	PRJEB40413	SAMEA7368287
GCF_030039395.1	ASM3003939v1	Escherichia coli	GCF_030039395.1-RS_2024_06_10	Complete Genome	2023-05-12	5	PRJNA961666	SAMN34360977
GCF_009951745.1	ASM995174v1	Escherichia coli	GCF_009951745.1-RS_2024_04_29	Complete Genome	2020-01-29	2	PRJNA552621	SAMN12214764
GCF_033114265.2	ASM3311426v2	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-12-14	2	PRJNA924282	SAMN37855938
GCF_030389275.1	ASM3038927v1	Escherichia coli	GCF_030389275.1-RS_2024_07_11	Complete Genome	2023-07-03	5	PRJNA984319	SAMN35654555
GCF_040930425.1	ASM4093042v1	Escherichia coli	GCF_040930425.1-RS_2024_07_28	Complete Genome	2024-07-29	7	PRJNA1137059	SAMN42566570
GCF_020616495.1	ASM2061649v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-26	4	PRJNA770868	SAMN22242657
GCF_019802685.1	ASM1980268v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-08-30	8	PRJNA756112	SAMN20855217
GCF_036505855.1	ASM3650585v1	Escherichia coli	GCF_036505855.1-RS_2024_04_04	Complete Genome	2023-11-04	15	PRJDB14867	SAMD00562605
GCF_023370135.1	ASM2337013v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-05-15	5	PRJNA836167	SAMN28152302
GCF_030168675.1	ASM3016867v1	Escherichia coli	GCF_030168675.1-RS_2024_06_21	Complete Genome	2023-06-05	4	PRJNA954068	SAMN34133712
GCF_036884445.1	ASM3688444v1	Escherichia coli	GCF_036884445.1-RS_2024_04_05	Complete Genome	2024-04-05	5	PRJNA1074938	SAMN33052308
GCF_002220215.1	ASM222021v1	Escherichia coli	GCF_002220215.1-RS_2024_06_14	Complete Genome	2017-07-17	1	PRJNA389489	SAMN07251590
GCF_030515195.1	ASM3051519v1	Escherichia coli	GCF_030515195.1-RS_2024_07_26	Complete Genome	2023-07-21	6	PRJNA757133	SAMN20934302
GCF_002741295.1	ASM274129v1	Escherichia coli	GCF_002741295.1-RS_2024_06_15	Complete Genome	2017-11-02	3	PRJNA218110	SAMN01916957
GCF_003667405.1	ASM366740v1	Escherichia coli	GCF_003667405.1-RS_2024_06_17	Complete Genome	2018-10-20	3	PRJNA495707	SAMN10230267
GCF_032345195.1	ASM3234519v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-04	7	PRJNA1020811	SAMN37529180
GCF_002012305.1	ASM201230v1	Escherichia coli	GCF_002012305.1-RS_2024_06_13	Complete Genome	2017-03-03	5	PRJNA316786	SAMN05511157
GCF_018884505.1	ASM1888450v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-15	4	PRJNA521509	SAMN10904671
GCF_023546825.1	ASM2354682v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-05-25	4	PRJNA837629	SAMN28215602
GCF_002012265.1	ASM201226v1	Escherichia coli	GCF_002012265.1-RS_2024_06_13	Complete Genome	2017-03-03	4	PRJNA316786	SAMN05511166
GCF_003956465.1	ASM395646v1	Escherichia coli	GCF_003956465.1-RS_2024_06_18	Complete Genome	2018-12-19	4	PRJNA421191	SAMN08161306
GCF_012934595.1	ASM1293459v1	Escherichia coli	GCF_012934595.1-RS_2024_06_26	Complete Genome	2020-04-30	2	PRJNA624897	SAMN14609782
GCF_001280385.1	ASM128038v1	Escherichia coli	GCF_001280385.1-RS_2024_06_02	Complete Genome	2015-09-09	2	PRJNA294467	SAMN04026226
GCF_026968085.1	ASM2696808v1	Escherichia coli	GCF_026968085.1-RS_2024_07_24	Complete Genome	2022-12-18	4	PRJNA909323	SAMN32080938
GCF_028551195.1	ASM2855119v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-02-08	6	PRJNA928227	SAMN32924205
GCF_006088875.1	ASM608887v1	Escherichia coli	GCF_006088875.1-RS_2024_06_19	Complete Genome	2019-06-06	3	PRJNA464158	SAMN09078534
GCF_025369875.1	ASM2536987v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-09-22	6	PRJNA879066	SAMN30789304
GCF_003570765.1	ASM357076v1	Escherichia coli	GCF_003570765.1-RS_2024_06_17	Complete Genome	2017-07-31	2	PRJNA292044	SAMN03963234
GCF_026651185.1	ASM2665118v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-05	5	PRJNA823807	SAMN27361461
GCF_022493655.1	ASM2249365v1	Escherichia coli	GCF_022493655.1-RS_2024_04_25	Complete Genome	2022-03-07	1	PRJNA293615	SAMN04100035
GCF_030036925.1	ASM3003692v1	Escherichia coli	GCF_030036925.1-RS_2024_06_10	Complete Genome	2023-05-12	4	PRJNA961666	SAMN34360961
GCF_040267595.1	MRSN130119	Escherichia coli	GCF_040267595.1-RS_2024_06_22	Complete Genome	2024-06-23	4	PRJNA1116075	SAMN41774622
GCF_040267605.1	MRSN126096	Escherichia coli	GCF_040267605.1-RS_2024_06_22	Complete Genome	2024-06-23	6	PRJNA1116075	SAMN41774620
GCF_023658405.1	ASM2365840v1	Escherichia coli	GCF_023658405.1-RS_2024_06_25	Complete Genome	2022-06-07	4	PRJNA843104	SAMN28703743
GCF_002165115.2	ASM216511v2	Escherichia coli	GCF_002165115.2-RS_2024_06_18	Complete Genome	2018-09-25	7	PRJNA418674	SAMN06909172
GCF_003400045.2	ASM340004v2	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-08-20	3	PRJNA230969	SAMN06909729
GCF_020809365.1	ASM2080936v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-09	4	PRJNA548004	SAMN13045724
GCF_022846575.1	ASM2284657v1	Escherichia coli	GCF_022846575.1-RS_2024_05_31	Complete Genome	2022-03-15	5	PRJDB13001	SAMD00441897
GCF_014169775.1	ASM1416977v1	Escherichia coli	GCF_014169775.1-RS_2024_06_26	Complete Genome	2020-07-21	3	PRJDB6962	SAMD00194629
GCF_024225755.1	ASM2422575v1	Escherichia coli	GCF_024225755.1-RS_2024_07_26	Complete Genome	2022-07-13	12	PRJNA855630	SAMN29499312
GCF_002863845.1	ASM286384v1	Escherichia coli	GCF_002863845.1-RS_2024_06_15	Complete Genome	2018-01-05	3	PRJNA392470	SAMN07302603
GCF_045037435.1	ASM4503743v1	Escherichia coli	GCF_045037435.1-RS_2024_11_20	Complete Genome	2024-11-23	2	PRJNA1180919	SAMN44530463
GCF_023170005.1	ASM2317000v1	Escherichia coli	GCF_023170005.1-RS_2024_06_07	Complete Genome	2022-03-15	5	PRJDB13001	SAMD00441898
GCF_027944995.1	ASM2794499v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-01-24	3	PRJNA907549	SAMN31988404
GCF_022492975.1	ASM2249297v1	Escherichia coli	GCF_022492975.1-RS_2024_04_26	Complete Genome	2022-03-07	1	PRJNA293615	SAMN04100030
GCF_022605345.1	ASM2260534v1	Escherichia coli	GCF_022605345.1-RS_2024_05_25	Complete Genome	2022-03-17	6	PRJNA814402	SAMN26549971
GCF_003031815.1	ASM303181v1	Escherichia coli	GCF_003031815.1-RS_2024_06_16	Complete Genome	2018-04-03	5	PRJNA278886	SAMN04622917
GCF_963693385.1	EC7072022	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-12-06	4	PRJEB70793	SAMEA114783438
GCF_024584965.1	ASM2458496v1	Escherichia coli	GCF_024584965.1-RS_2024_09_07	Complete Genome	2022-08-08	2	PRJNA320137	SAMN04917417
GCF_004804185.1	ASM480418v1	Escherichia coli	GCF_004804185.1-RS_2024_06_19	Complete Genome	2019-04-23	2	PRJNA315192	SAMN11266496
GCF_030295485.1	ASM3029548v1	Escherichia coli	GCF_030295485.1-RS_2024_06_30	Complete Genome	2023-05-30	3	PRJDB14917	SAMD00565531
GCF_002741535.1	ASM274153v1	Escherichia coli	GCF_002741535.1-RS_2024_06_15	Complete Genome	2017-11-02	4	PRJNA218110	SAMN07172369
GCF_024585925.1	ASM2458592v1	Escherichia coli	GCF_024585925.1-RS_2024_09_08	Complete Genome	2022-08-08	9	PRJNA725375	SAMN18877292
GCF_003018855.1	ASM301885v1	Escherichia coli	GCF_003018855.1-RS_2024_06_15	Complete Genome	2018-03-26	3	PRJNA218110	SAMN08579574
GCF_900184875.1	Unitig	Escherichia coli	GCF_900184875.1-RS_2024_06_15	Complete Genome	2017-12-06	4	PRJEB21000	SAMEA104093909
GCF_040267635.1	MRSN123636	Escherichia coli	GCF_040267635.1-RS_2024_06_22	Complete Genome	2024-06-23	6	PRJNA1116075	SAMN41774623
GCF_040267625.1	MRSN124611	Escherichia coli	GCF_040267625.1-RS_2024_06_22	Complete Genome	2024-06-23	6	PRJNA1116075	SAMN41774624
GCF_025583375.2	ASM2558337v2	Escherichia coli	GCF_025583375.2-RS_2024_06_10	Complete Genome	2023-05-18	4	PRJNA877800	SAMN30724602
GCF_002787645.1	ASM278764v1	Escherichia coli	GCF_002787645.1-RS_2024_06_15	Complete Genome	2017-11-20	4	PRJNA416193	SAMN07944240
GCF_018394415.1	ASM1839441v1	Escherichia coli	GCF_018394415.1-RS_2024_06_14	Complete Genome	2021-05-18	2	PRJNA728803	SAMN19103544
GCF_910591805.1	UR2111869Assembly	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-07	2	PRJEB34740	SAMEA8913999
GCF_014656625.1	ASM1465662v1	Escherichia coli	GCF_014656625.1-RS_2024_06_27	Complete Genome	2020-09-19	2	PRJNA662169	SAMN16077358
GCF_013315735.1	ASM1331573v1	Escherichia coli	GCF_013315735.1-RS_2024_06_26	Complete Genome	2020-06-10	3	PRJNA624897	SAMN14943543
GCF_022493575.1	ASM2249357v1	Escherichia coli	GCF_022493575.1-RS_2024_04_25	Complete Genome	2022-03-07	1	PRJNA293615	SAMN04100039
GCF_022494075.1	ASM2249407v1	Escherichia coli	GCF_022494075.1-RS_2024_04_30	Complete Genome	2022-03-07	7	PRJNA603241	SAMN13925558
GCF_040801825.1	ASM4080182v1	Escherichia coli	GCF_040801825.1-RS_2024_07_24	Complete Genome	2024-07-24	3	PRJNA1134409	SAMN42419709
GCF_002077195.1	ASM207719v1	Escherichia coli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-04-03	6	PRJNA342576	SAMN05762409
